     Size       Runtime
    (bytes)    (seconds) 
       5120	 0.00296783
       6144	 0.00296712
       7168	 0.00296593
       8192	 0.00296497
      10240	 0.00296712
      12288	 0.00296402
      14336	 0.00296688
      16384	 0.00296593
      20480	 0.00297904
      24576	 0.00299001
      28672	 0.00298595
      32768	 0.00300503
      40960	 0.00348902
      49152	 0.00377297
      57344	 0.00398397
      65536	 0.00412893
      81920	 0.00432777
      98304	 0.00443816
     114688	 0.00454998
     131072	 0.00460386
     163840	 0.00469279
     196608	 0.00525880
     229376	 0.00530005
     262144	 0.00620008
     327680	 0.00794983
     393216	 0.00998402
     458752	 0.01120591
     524288	 0.01216292
     655360	 0.01348805
     786432	 0.01432014
     917504	 0.01497602
    1048576	 0.01541996
    1310720	 0.01607299
    1572864	 0.01647496
    1835008	 0.01678205
    2097152	 0.01700807
    2621440	 0.01542711
    3145728	 0.01593900
    3670016	 0.01631904
    4194304	 0.01658988
    5242880	 0.01603794
    6291456	 0.01645207
    7340032	 0.01608109
    8388608	 0.01638699
   10485760	 0.01634288
   12582912	 0.01632094
   14680064	 0.01629806
   16777216	 0.01628995
   20971520	 0.01637793
   25165824	 0.01716185
   29360128	 0.02042723
   33554432	 0.02508903
   41943040	 0.03347611
   50331648	 0.03984404
   58720256	 0.04384398
   67108864	 0.04835606
   83886080	 0.05423903
  100663296	 0.05826592
  117440512	 0.06126595
  134217728	 0.06343603
  167772160	 0.06683397
  201326592	 0.06935287
  234881024	 0.07107210
  268435456	 0.07217193
