     Size       Runtime
       5120	 0.00296402
       6144	 0.00296807
       7168	 0.00296688
       8192	 0.00296497
      10240	 0.00296712
      12288	 0.00296497
      14336	 0.00296688
      16384	 0.00296497
      20480	 0.00297499
      24576	 0.00297689
      28672	 0.00297713
      32768	 0.00298882
      40960	 0.00297189
      49152	 0.00296998
      57344	 0.00296998
      65536	 0.00296807
      81920	 0.00296998
      98304	 0.00296998
     114688	 0.00296879
     131072	 0.00296807
     163840	 0.00296807
     196608	 0.00296807
     229376	 0.00296903
     262144	 0.00296998
     327680	 0.00296879
     393216	 0.00296903
     458752	 0.00296998
     524288	 0.00297213
     655360	 0.00296998
     786432	 0.00296903
     917504	 0.00296998
    1048576	 0.00296903
    1310720	 0.00296879
    1572864	 0.00296903
    1835008	 0.00296998
    2097152	 0.00296903
    2621440	 0.00296807
    3145728	 0.00296879
    3670016	 0.00296783
    4194304	 0.00296879
    5242880	 0.00296879
    6291456	 0.00296879
    7340032	 0.00296998
    8388608	 0.00296903
   10485760	 0.00296903
   12582912	 0.00296807
   14680064	 0.00296783
   16777216	 0.00296807
   20971520	 0.00296903
   25165824	 0.00296807
   29360128	 0.00296807
   33554432	 0.00296807
   41943040	 0.00296783
   50331648	 0.00296807
   58720256	 0.00296903
   67108864	 0.00296998
   83886080	 0.00296903
  100663296	 0.00296807
  117440512	 0.00296783
  134217728	 0.00296903
  167772160	 0.00296903
  201326592	 0.00296783
  234881024	 0.00296998
  268435456	 0.00296903
